"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","t_centrarchi","t_lynn","t_maritimum","t_mesophilum","t_ovolyticum","t_rebecca","t_soleae","t_sp47","Inference"
"iucC_1","","Aerobactin synthase","2","2","1","132","6788","150","104","","1820","1820","1820","","","","JLCCBCLK_00125","","IFMAJOOC_02389","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q47318"
"iucB","","N(6)-hydroxylysine O-acetyltransferase","2","2","1","132","6789","150","105","","590","590","590","","","","JLCCBCLK_00126","","IFMAJOOC_02388","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q47317"
"group_5579","ddc","L-2%2C4-diaminobutyrate decarboxylase","2","2","1","132","6782","150","144","","1508","1508","1508","","","","JLCCBCLK_00130","","IFMAJOOC_02571","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P71362"
"catD","","3-oxoadipate enol-lactonase 2","2","2","1","132","6763","150","165","","773","773","773","","","","JLCCBCLK_00143","","IFMAJOOC_02583","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P00632"
"ypdA_8","","Sensor histidine kinase YpdA","2","2","1","132","6747","150","182","","1922","1922","1922","","","","JLCCBCLK_00158","","IFMAJOOC_01684","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AA93"
"group_5583","","putative zinc protease","2","2","1","132","6742","150","186","","1316","1316","1316","","","","JLCCBCLK_00162","","IFMAJOOC_01680","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WHT5"
"yedA","","putative inner membrane transporter YedA","2","2","1","132","6547","150","200","","872","872","872","","","","JLCCBCLK_00164","","IFMAJOOC_01678","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AA70"
"group_5585","","hypothetical protein","2","2","1","132","6548","150","199","","368","368","368","","","","JLCCBCLK_00165","","IFMAJOOC_01677","","","ab initio prediction:Prodigal:2.6"
"ssb_1","","Single-stranded DNA-binding protein","2","2","1","132","6735","150","192","","437","437","437","","","","JLCCBCLK_00169","","IFMAJOOC_01673","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q83EP4"
"mutY","","Adenine DNA glycosylase","2","2","1","132","6734","150","191","","1040","1040","1040","","","","JLCCBCLK_00170","","IFMAJOOC_01672","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O31584"
"group_5592","","putative NTE family protein","2","2","1","132","6649","150","226","","2189","2189","2189","","","","JLCCBCLK_00177","","IFMAJOOC_01665","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WIY9"
"group_5594","","hypothetical protein","2","2","1","132","6569","150","405","","374","374","374","","","","JLCCBCLK_00192","","IFMAJOOC_01007","","","ab initio prediction:Prodigal:2.6"
"group_5595","","hypothetical protein","2","2","1","132","6567","150","402","","869","869","869","","","","JLCCBCLK_00194","","IFMAJOOC_01004","","","ab initio prediction:Prodigal:2.6"
"group_5601","","hypothetical protein","2","2","1","132","5980","150","380","","554","554","554","","","","JLCCBCLK_00207","","IFMAJOOC_00991","","","ab initio prediction:Prodigal:2.6"
"group_5603","","hypothetical protein","2","2","1","132","6029","150","337","","998","998","998","","","","JLCCBCLK_00225","","IFMAJOOC_02097","","","ab initio prediction:Prodigal:2.6"
"tqsA","","AI-2 transport protein TqsA","2","2","1","132","6033","150","291","","1034","1034","1034","","","","JLCCBCLK_00228","","IFMAJOOC_02094","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AFS5"
"group_5608","","hypothetical protein","2","2","1","132","6055","150","317","","299","299","299","","","","JLCCBCLK_00239","","IFMAJOOC_00500","","","ab initio prediction:Prodigal:2.6"
"group_5609","","hypothetical protein","2","2","1","132","6060","150","313","","434","434","434","","","","JLCCBCLK_00243","","IFMAJOOC_00495","","","ab initio prediction:Prodigal:2.6"
"group_5610","","hypothetical protein","2","2","1","132","8340","150","7513","","233","233","233","","","","JLCCBCLK_00247","","IFMAJOOC_00490","","","ab initio prediction:Prodigal:2.6"
"group_5611","","hypothetical protein","2","2","1","132","5931","150","7507","","317","317","317","","","","JLCCBCLK_00254","","IFMAJOOC_00483","","","ab initio prediction:Prodigal:2.6"
"group_5612","","hypothetical protein","2","2","1","132","8349","150","7537","","620","620","620","","","","JLCCBCLK_00257","","IFMAJOOC_00480","","","ab initio prediction:Prodigal:2.6"
"ytlR","","Putative lipid kinase YtlR","2","2","1","132","5930","150","7541","","911","911","911","","","","JLCCBCLK_00259","","IFMAJOOC_00478","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O34799"
"group_5614","","hypothetical protein","2","2","1","132","5909","150","7540","","122","122","122","","","","JLCCBCLK_00261","","IFMAJOOC_00476","","","ab initio prediction:Prodigal:2.6"
"inlJ","","Internalin-J","2","2","1","132","8356","150","7544","","1589","1589","1589","","","","JLCCBCLK_00264","","IFMAJOOC_00473","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q8Y3L4"
"group_5616","","hypothetical protein","2","2","1","132","5886","150","7461","","1382","1382","1382","","","","JLCCBCLK_00273","","IFMAJOOC_00464","","","ab initio prediction:Prodigal:2.6"
"yehU","","Sensor histidine kinase YehU","2","2","1","132","3417","150","7566","","1052","1052","1052","","","","JLCCBCLK_00284","","IFMAJOOC_00453","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AD14"
"group_5618","lytR_2","Sensory transduction protein LytR","2","2","1","132","3418","150","7567","","689","689","689","","","","JLCCBCLK_00285","","IFMAJOOC_00452","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P60611"
"trxA_1","","Thioredoxin","2","2","1","132","3430","150","7582","","359","359","359","","","","JLCCBCLK_00294","","IFMAJOOC_00443","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P52231"
"group_5621","greA","Transcription elongation factor GreA; hypothetical protein","2","2","1","132","3287","150","1616","","452","452","452","","","","JLCCBCLK_00303","","IFMAJOOC_00434","","","ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00105"
"lhgO","","L-2-hydroxyglutarate oxidase LhgO","2","2","1","132","3288","150","1615","","1115","1115","1115","","","","JLCCBCLK_00304","","IFMAJOOC_00433","","","ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00990"
"group_5623","","hypothetical protein","2","2","1","132","3289","150","1614","","461","461","461","","","","JLCCBCLK_00305","","IFMAJOOC_00432","","","ab initio prediction:Prodigal:2.6"
"group_5624","","hypothetical protein","2","2","1","132","3290","150","1602","","917","917","917","","","","JLCCBCLK_00306","","IFMAJOOC_00431","","","ab initio prediction:Prodigal:2.6"
"group_5625","","hypothetical protein","2","2","1","132","3321","150","1949","","383","383","383","","","","JLCCBCLK_00310","","IFMAJOOC_03080","","","ab initio prediction:Prodigal:2.6"
"group_5626","","hypothetical protein","2","2","1","132","3408","150","1648","","620","620","620","","","","JLCCBCLK_00316","","IFMAJOOC_01925","","","ab initio prediction:Prodigal:2.6"
"group_5627","","hypothetical protein","2","2","1","132","3329","150","1935","","3560","3560","3560","","","","JLCCBCLK_00318","","IFMAJOOC_01923","","","ab initio prediction:Prodigal:2.6"
"group_5634","","hypothetical protein","2","2","1","132","3386","150","1919","","422","422","422","","","","JLCCBCLK_00336","","IFMAJOOC_01912","","","ab initio prediction:Prodigal:2.6"
"group_5636","","hypothetical protein","2","2","1","132","3341","150","1915","","584","584","584","","","","JLCCBCLK_00339","","IFMAJOOC_01909","","","ab initio prediction:Prodigal:2.6"
"group_5637","","hypothetical protein","2","2","1","132","1224","150","1879","","230","230","230","","","","JLCCBCLK_00363","","IFMAJOOC_01174","","","ab initio prediction:Prodigal:2.6"
"group_5638","","hypothetical protein","2","2","1","132","1223","150","1878","","380","380","380","","","","JLCCBCLK_00364","","IFMAJOOC_01173","","","ab initio prediction:Prodigal:2.6"
"atpB","","ATP synthase subunit a","2","2","1","132","1222","150","1877","","1175","1175","1175","","","","JLCCBCLK_00365","","IFMAJOOC_01172","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O05330"
"atpF","","ATP synthase subunit b","2","2","1","132","1294","150","1743","","497","497","497","","","","JLCCBCLK_00367","","IFMAJOOC_01170","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P09221"
"group_5641","","hypothetical protein","2","2","1","132","1515","150","1854","","698","698","698","","","","JLCCBCLK_00376","","IFMAJOOC_01162","","","ab initio prediction:Prodigal:2.6"
"group_5642","","hypothetical protein","2","2","1","132","1492","150","1835","","188","188","188","","","","JLCCBCLK_00383","","IFMAJOOC_01155","","","ab initio prediction:Prodigal:2.6"
"group_5643","","hypothetical protein","2","2","1","132","1478","150","1823","","899","899","899","","","","JLCCBCLK_00395","","IFMAJOOC_01143","","","ab initio prediction:Prodigal:2.6"
"group_5644","","hypothetical protein","2","2","1","132","1477","150","1821","","692","692","692","","","","JLCCBCLK_00397","","IFMAJOOC_01141","","","ab initio prediction:Prodigal:2.6"
"group_5646","","hypothetical protein","2","2","1","132","1466","150","1810","","377","377","377","","","","JLCCBCLK_00410","","IFMAJOOC_02968","","","ab initio prediction:Prodigal:2.6"
"glpQ","","Glycerophosphodiester phosphodiesterase%2C periplasmic","2","2","1","132","1427","150","1787","","905","905","905","","","","JLCCBCLK_00432","","IFMAJOOC_02460","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P09394"
"group_5650","","hypothetical protein","2","2","1","132","1392","150","3598","","332","332","332","","","","JLCCBCLK_00440","","IFMAJOOC_02027","","","ab initio prediction:Prodigal:2.6"
"group_5651","","hypothetical protein","2","2","1","132","1391","150","3599","","959","959","959","","","","JLCCBCLK_00441","","IFMAJOOC_02026","","","ab initio prediction:Prodigal:2.6"
"group_5653","","hypothetical protein","2","2","1","132","1375","150","3621","","512","512","512","","","","JLCCBCLK_00449","","IFMAJOOC_02018","","","ab initio prediction:Prodigal:2.6"
"cofC","","2-phospho-L-lactate guanylyltransferase","2","2","1","132","1354","150","3634","","686","686","686","","","","JLCCBCLK_00454","","IFMAJOOC_02013","","","ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_02114"
"group_5656","","hypothetical protein","2","2","1","132","1356","150","3638","","707","707","707","","","","JLCCBCLK_00458","","IFMAJOOC_02009","","","ab initio prediction:Prodigal:2.6"
"group_5657","","hypothetical protein","2","2","1","132","1355","150","3637","","1190","1190","1190","","","","JLCCBCLK_00459","","IFMAJOOC_02008","","","ab initio prediction:Prodigal:2.6"
"bepC","","Outer membrane efflux protein BepC","2","2","1","132","2910","150","3650","","1328","1328","1328","","","","JLCCBCLK_00471","","IFMAJOOC_01996","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q8G0Y6"
"group_5659","","hypothetical protein","2","2","1","132","2865","150","3540","","353","353","353","","","","JLCCBCLK_00474","","IFMAJOOC_01993","","","ab initio prediction:Prodigal:2.6"
"group_5660","","hypothetical protein","2","2","1","132","2924","150","3670","","470","470","470","","","","JLCCBCLK_00482","","IFMAJOOC_02770","","","ab initio prediction:Prodigal:2.6"
"group_5661","","hypothetical protein","2","2","1","132","2936","150","3691","","731","731","731","","","","JLCCBCLK_00489","","IFMAJOOC_02777","","","ab initio prediction:Prodigal:2.6"
"ykfA","","putative murein peptide carboxypeptidase","2","2","1","132","2952","150","3698","","986","986","986","","","","JLCCBCLK_00494","","IFMAJOOC_02710","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O34851"
"group_5663","","hypothetical protein","2","2","1","132","2956","150","3700","","359","359","359","","","","JLCCBCLK_00496","","IFMAJOOC_02708","","","ab initio prediction:Prodigal:2.6"
"group_5664","","hypothetical protein","2","2","1","132","2965","150","3711","","752","752","752","","","","JLCCBCLK_00505","","IFMAJOOC_02250","","","ab initio prediction:Prodigal:2.6"
"susC_18","","TonB-dependent receptor SusC","2","2","1","132","2835","150","3721","","2963","2963","2963","","","","JLCCBCLK_00514","","IFMAJOOC_02258","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q8A1G1"
"group_5667","","hypothetical protein","2","2","1","132","2829","150","3769","","218","218","218","","","","JLCCBCLK_00523","","IFMAJOOC_02266","","","ab initio prediction:Prodigal:2.6"
"group_5668","","hypothetical protein","2","2","1","132","2828","150","3770","","461","461","461","","","","JLCCBCLK_00524","","IFMAJOOC_02267","","","ab initio prediction:Prodigal:2.6"
"group_5669","","hypothetical protein","2","2","1","132","8572","150","3949","","707","707","707","","","","JLCCBCLK_00530","","IFMAJOOC_00569","","","ab initio prediction:Prodigal:2.6"
"group_5671","","hypothetical protein","2","2","1","132","3473","150","3351","","1604","1604","1604","","","","JLCCBCLK_00548","","IFMAJOOC_01976","","","ab initio prediction:Prodigal:2.6"
"group_5672","glpE","Thiosulfate sulfurtransferase GlpE","2","2","1","132","2989","150","3733","","380","380","380","","","","JLCCBCLK_00554","","IFMAJOOC_01970","","","ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_01009"
"group_5673","","putative HTH-type transcriptional regulator","2","2","1","132","2820","150","3736","","329","329","329","","","","JLCCBCLK_00560","","IFMAJOOC_01964","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WMI6"
"group_5675","","hypothetical protein","2","2","1","132","2705","150","3753","","716","716","716","","","","JLCCBCLK_00565","","IFMAJOOC_00097","","","ab initio prediction:Prodigal:2.6"
"group_5676","","hypothetical protein","2","2","1","132","8723","150","3740","","1328","1328","1328","","","","JLCCBCLK_00568","","IFMAJOOC_00094","","","ab initio prediction:Prodigal:2.6"
"group_5677","","hypothetical protein","2","2","1","132","8722","150","3739","","1094","1094","1094","","","","JLCCBCLK_00569","","IFMAJOOC_00093","","","ab initio prediction:Prodigal:2.6"
"apaG","","Protein ApaG","2","2","1","132","8721","150","3782","","386","386","386","","","","JLCCBCLK_00570","","IFMAJOOC_00092","","","ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00791"
"group_5679","","hypothetical protein","2","2","1","132","2707","150","3775","","2738","2738","2738","","","","JLCCBCLK_00572","","IFMAJOOC_00090","","","ab initio prediction:Prodigal:2.6"
"group_5680","","hypothetical protein","2","2","1","132","2706","150","3776","","1199","1199","1199","","","","JLCCBCLK_00573","","IFMAJOOC_00089","","","ab initio prediction:Prodigal:2.6"
"group_5681","","hypothetical protein","2","2","1","132","2711","150","3777","","1508","1508","1508","","","","JLCCBCLK_00574","","IFMAJOOC_00088","","","ab initio prediction:Prodigal:2.6"
"ccp_2","","Cytochrome c551 peroxidase","2","2","1","132","2712","150","3778","","1130","1130","1130","","","","JLCCBCLK_00575","","IFMAJOOC_00087","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P55929"
"group_5684","susC_2","TonB-dependent receptor SusC","2","2","1","132","2723","150","3941","","2342","2342","2342","","","","JLCCBCLK_00582","","IFMAJOOC_00080","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q8A1G1"
"group_5686","","hypothetical protein","2","2","1","132","3114","150","3795","","497","497","497","","","","JLCCBCLK_00587","","IFMAJOOC_00075","","","ab initio prediction:Prodigal:2.6"
"hdc_2","","Histidine decarboxylase","2","2","1","132","2583","150","7817","","725","1169","947","","ACNLJPHK_00892","","","","IFMAJOOC_02147","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P05034"
"hutI","","Imidazolonepropionase","2","2","1","132","7268","150","6643","","1232","1232","1232","","ACNLJPHK_02395","","","","","","DIGNGMGA_00638","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P42084"
"argE","","Acetylornithine deacetylase","2","2","1","132","7401","150","8659","","656","1073","864","","ACNLJPHK_01105","","","","IFMAJOOC_02935","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P23908"
"group_591","","hypothetical protein","2","2","1","132","1946","150","1049","","737","737","737","","ACNLJPHK_01113","","","","IFMAJOOC_01469","","","ab initio prediction:Prodigal:2.6"
"group_598","bepA_1","Beta-barrel assembly-enhancing protease","2","2","1","132","6973","150","7375","","974","1238","1106","","ACNLJPHK_02725","","","","IFMAJOOC_00294","","","ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00997"
"group_605","aroC","Chorismate synthase","2","2","1","132","4329","150","5608","","1061","1061","1061","","ACNLJPHK_01344","","","","IFMAJOOC_02977","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P12008"
"group_617","doeB","N-alpha-acetyl-L-2%2C4-diaminobutyric acid deacetylase","2","2","1","132","8486","150","8617","","962","962","962","","ACNLJPHK_01450","","","","","","DIGNGMGA_00692","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:E1V7W0"
"fabG_1","","putative oxidoreductase; 3-oxoacyl-[acyl-carrier-protein] reductase FabG","2","2","1","132","8511","150","5310","","800","800","800","","ACNLJPHK_01596","","","","IFMAJOOC_01185","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q7A3L9"
"ddl_1","","D-alanine--D-alanine ligase","2","2","1","132","7765","150","8545","","818","959","888","","ACNLJPHK_01718","","","","IFMAJOOC_03020","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q81Q29"
"daip","","Dispase autolysis-inducing protein","2","2","1","132","8116","150","4975","","3194","3251","3222","","ACNLJPHK_01726","","","","IFMAJOOC_00591","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P84908"
"metE_1","","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase","2","2","1","132","7910","150","6479","","2324","2324","2324","","ACNLJPHK_01777","","","","IFMAJOOC_00970","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9JZQ2"
"group_648","","hypothetical protein","2","2","1","1","30","1","36","","608","608","608","","ACNLJPHK_01883","","","","IFMAJOOC_02235","","","ab initio prediction:Prodigal:2.6"
"group_654","","hypothetical protein","2","2","1","132","7390","150","1343","","410","1073","741","","ACNLJPHK_01979","","","","IFMAJOOC_01606","","","ab initio prediction:Prodigal:2.6"
"group_6574","","hypothetical protein","2","2","1","132","8206","150","5078","","833","836","834","","","","JLCCBCLK_00061","","IFMAJOOC_00241","","","ab initio prediction:Prodigal:2.6"
"infB","","Translation initiation factor IF-2","2","2","1","132","2137","150","829","","2855","2864","2859","","ACNLJPHK_02137","","","","IFMAJOOC_00286","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P04766"
"group_669","","D-hydantoinase","2","2","1","1","42","1","21","","2738","2945","2841","","ACNLJPHK_02140","","","","IFMAJOOC_02688","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q45515"
"group_683","","hypothetical protein","2","2","1","132","463","150","8305","","1175","1505","1340","","ACNLJPHK_02383","","","","IFMAJOOC_00795","","","ab initio prediction:Prodigal:2.6"
"group_69","","hypothetical protein","2","3","1.5","15","1","24","1","Investigate","206","341","252","","ACNLJPHK_03206	ACNLJPHK_03200","","","","IFMAJOOC_03156","","","ab initio prediction:Prodigal:2.6"
"group_690","","hypothetical protein","2","2","1","132","5134","150","2509","","533","581","557","","ACNLJPHK_02557","","","","IFMAJOOC_02119","","","ab initio prediction:Prodigal:2.6"
"group_692","","hypothetical protein","2","2","1","132","6079","150","4129","","542","1238","890","","ACNLJPHK_02447","","","","IFMAJOOC_02668","","","ab initio prediction:Prodigal:2.6"
"group_693","","hypothetical protein","2","2","1","132","8063","150","4914","","851","1379","1115","","ACNLJPHK_02519","","","","IFMAJOOC_01807","","","ab initio prediction:Prodigal:2.6"
"group_6933","","hypothetical protein","2","2","1","132","7652","150","8447","","716","725","720","","ACNLJPHK_01907","","","","IFMAJOOC_01311","","","ab initio prediction:Prodigal:2.6"
"group_695","","hypothetical protein","2","2","1","132","6404","150","5244","","536","764","650","","ACNLJPHK_02524","","","","IFMAJOOC_01208","","","ab initio prediction:Prodigal:2.6"
"group_697","","hypothetical protein","2","2","1","132","6138","150","5241","","2534","2534","2534","","ACNLJPHK_02527","","","","IFMAJOOC_01211","","","ab initio prediction:Prodigal:2.6"
"group_70","","hypothetical protein","2","2","1","132","8727","150","3749","","848","848","848","","ACNLJPHK_02071","","","","IFMAJOOC_00104","","","ab initio prediction:Prodigal:2.6"
"nadE_1","","NH(3)-dependent NAD(+) synthetase","2","2","1","132","7787","150","6238","","788","788","788","","ACNLJPHK_00473","","","","IFMAJOOC_01548","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9PPB0"
"group_711","","hypothetical protein","2","2","1","132","7295","150","4079","","677","1001","839","","ACNLJPHK_02791","","","","IFMAJOOC_03098","","","ab initio prediction:Prodigal:2.6"
"bshA","","N-acetyl-alpha-D-glucosaminyl L-malate synthase","2","2","1","132","7378","150","8091","","1130","1130","1130","","ACNLJPHK_02947","","","","IFMAJOOC_01599","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q81ST7"
"group_724","","hypothetical protein","2","2","1","132","4385","150","5893","","425","602","513","","ACNLJPHK_02963","","","","IFMAJOOC_02439","","","ab initio prediction:Prodigal:2.6"
"group_7254","","hypothetical protein","2","2","1","132","2596","150","8046","","287","290","288","","ACNLJPHK_00882","","","","IFMAJOOC_02135","","","ab initio prediction:Prodigal:2.6"
"group_727","","hypothetical protein","2","2","1","132","7179","150","6694","","617","635","626","","ACNLJPHK_03025","","","","IFMAJOOC_01279","","","ab initio prediction:Prodigal:2.6"
"group_729","","hypothetical protein","2","2","1","132","5437","150","8280","","341","341","341","","ACNLJPHK_03074","","","","IFMAJOOC_00773","","","ab initio prediction:Prodigal:2.6"
"group_7301","","hypothetical protein","2","2","1","132","2834","150","3722","","1328","1349","1338","","","","JLCCBCLK_00515","","IFMAJOOC_02259","","","ab initio prediction:Prodigal:2.6"
"group_731","","hypothetical protein","2","2","1","132","2195","150","8358","","3071","3557","3314","","","","JLCCBCLK_00009","","IFMAJOOC_02536","","","ab initio prediction:Prodigal:2.6"
"group_734","","hypothetical protein","2","2","1","132","6010","150","352","","254","1757","1005","","","","JLCCBCLK_00216","","IFMAJOOC_00982","","","ab initio prediction:Prodigal:2.6"
"group_736","","hypothetical protein","2","2","1","132","6057","150","315","","545","3569","2057","","","","JLCCBCLK_00241","","IFMAJOOC_00498","","","ab initio prediction:Prodigal:2.6"
"group_737","","hypothetical protein","2","2","1","132","2850","150","3695","","884","1409","1146","","","","JLCCBCLK_00492","","IFMAJOOC_02712","","","ab initio prediction:Prodigal:2.6"
"pfeA","","Ferric enterobactin receptor","2","2","1","132","2833","150","3724","","1928","2864","2396","","","","JLCCBCLK_00516","","IFMAJOOC_02260","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q05098"
"hflK","","Modulator of FtsH protease HflK","2","2","1","132","5923","150","7500","","926","929","927","BIAFHNIK_00005","","","","","","NBFCBFAJ_00464","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0ABC7"
"group_742","","hypothetical protein","2","2","1","132","6682","150","304","","1085","1085","1085","BIAFHNIK_00022","","","","","","NBFCBFAJ_00478","","ab initio prediction:Prodigal:2.6"
"group_743","","putative zinc protease","2","2","1","132","6715","150","47","","1313","1313","1313","BIAFHNIK_00052","","","","","","NBFCBFAJ_00552","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WHT5"
"moeZ_1","","putative adenylyltransferase/sulfurtransferase MoeZ","2","2","1","132","6540","150","56","","1031","1031","1031","BIAFHNIK_00057","","","","","","NBFCBFAJ_00351","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WMN7"
"group_745","trmB","tRNA (guanine-N(7)-)-methyltransferase","2","2","1","132","6525","150","95","","671","671","671","BIAFHNIK_00075","","","","","","NBFCBFAJ_00335","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O34522"
"group_746","nfuA_1","Fe/S biogenesis protein NfuA","2","2","1","132","6777","150","154","","236","236","236","BIAFHNIK_00078","","","","","","NBFCBFAJ_00332","","ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_01637"
"group_747","ettA","Energy-dependent translational throttle protein EttA","2","2","1","132","5958","150","276","","1871","1874","1872","BIAFHNIK_00096","","","","","","NBFCBFAJ_00489","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0A9W3"
"group_748","","hypothetical protein","2","2","1","132","5977","150","365","","1679","1679","1679","BIAFHNIK_00101","","","","","","NBFCBFAJ_00496","","ab initio prediction:Prodigal:2.6"
"group_749","trpS","Tryptophan--tRNA ligase","2","2","1","132","6474","150","4439","","968","968","968","BIAFHNIK_00143","","","","","","NBFCBFAJ_00304","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9PIB4"
"prfC_2","","hypothetical protein; Adenine deaminase; DNA gyrase subunit B; Aerobic respiration control sensor protein ArcB; UDP-2-acetamido-2-deoxy-3-oxo-D-glucuronate aminotransferase; DNA mismatch repair protein MutL; putative epimerase/dehydratase; Major NAD(P)H-flavin oxidoreductase; Diadenosine hexaphosphate hydrolase; NH(3)-dependent NAD(+) synthetase; Pyridoxine 5'-phosphate synthase; 50S ribosomal protein L16; Imidazolonepropionase; Peptide chain release factor 3","2","75","37.5","132","4277","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","125","2459","404","","ACNLJPHK_03376	ACNLJPHK_03264	ACNLJPHK_03454	ACNLJPHK_00205	ACNLJPHK_03501	ACNLJPHK_00210	ACNLJPHK_03411	ACNLJPHK_03207	ACNLJPHK_03208	ACNLJPHK_03497	ACNLJPHK_03514	ACNLJPHK_03325	ACNLJPHK_03510	ACNLJPHK_03359	ACNLJPHK_00899	ACNLJPHK_03554	ACNLJPHK_03332	ACNLJPHK_03500	ACNLJPHK_03404	ACNLJPHK_03235	ACNLJPHK_03456	ACNLJPHK_03326	ACNLJPHK_03383	ACNLJPHK_03327	ACNLJPHK_03407	ACNLJPHK_03210	ACNLJPHK_03361	ACNLJPHK_03402	ACNLJPHK_03409	ACNLJPHK_03212	ACNLJPHK_03382	ACNLJPHK_03211	ACNLJPHK_03266	ACNLJPHK_03398	ACNLJPHK_03319	ACNLJPHK_03550	ACNLJPHK_03321	ACNLJPHK_03495	ACNLJPHK_03490	ACNLJPHK_03493	ACNLJPHK_03505	ACNLJPHK_03234	ACNLJPHK_03400	ACNLJPHK_03129	ACNLJPHK_03357	ACNLJPHK_03498	ACNLJPHK_03323	ACNLJPHK_03355	ACNLJPHK_02606	ACNLJPHK_02611	ACNLJPHK_02742	ACNLJPHK_02743	ACNLJPHK_03488	ACNLJPHK_02978	ACNLJPHK_02983	ACNLJPHK_02999	ACNLJPHK_03331	ACNLJPHK_03352	ACNLJPHK_03378	ACNLJPHK_03002	ACNLJPHK_03027	ACNLJPHK_03032	ACNLJPHK_03128	ACNLJPHK_03502	ACNLJPHK_03377	ACNLJPHK_03353	ACNLJPHK_03239	ACNLJPHK_03547	ACNLJPHK_03506	ACNLJPHK_03362	ACNLJPHK_03329	ACNLJPHK_03405	ACNLJPHK_03403	ACNLJPHK_03452","","","","IFMAJOOC_02597","","","ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_01518"
"group_750","allB","Allantoinase","2","2","1","132","8282","150","710","","1337","1340","1338","BIAFHNIK_00170","","","","","","NBFCBFAJ_00264","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O32137"
